split, sceneId, startX, startY, startZ, startAngle, goalX, goalY, goalZ, dist, pathDist,complexity
train,Aloha,-2.002,2.958,0.2,2.487,-4.754,10.251,-0.113,7.798,8.814,1.130
train,Aloha,-2.002,2.958,0.2,2.487,-3.446,9.56,-0.334,6.758,7.922,1.172
train,Aloha,-2.796,0.126,0.2,4.341,-2.125,8.545,-0.323,8.445,8.874,1.051
train,Aloha,-0.035,-0.032,0.2,1.549,-4.437,5.31,-0.332,6.922,8.346,1.206
train,Aloha,0.134,7.154,0.2,0.664,-4.754,10.251,-0.113,5.79,7.937,1.371
train,Aloha,-3.709,3.409,0.2,4.149,-2.125,8.545,-0.323,5.375,5.556,1.034
train,Aloha,-2.796,0.126,0.2,4.341,-5.815,8.112,-0.32,8.537,8.7,1.019
train,Aloha,-4.437,5.31,0.2,3.733,0.241,9.735,-0.315,6.439,6.624,1.029
train,Aloha,-1.603,-1.392,0.2,3.145,-5.062,3.283,-0.319,5.815,6.793,1.168
train,Aloha,-1.603,-1.392,0.2,3.145,-3.507,8.707,-0.32,10.277,10.438,1.016
train,Aloha,-2.125,8.545,0.2,2.486,0.118,0.982,-0.314,7.889,12.665,1.605
train,Aloha,-0.035,-0.032,0.2,1.549,-3.507,8.707,-0.32,9.403,11.376,1.210
train,Aloha,-2.002,2.958,0.2,2.487,-2.125,8.545,-0.323,5.589,7.322,1.310
train,Aloha,-3.709,3.409,0.2,4.149,0.241,9.735,-0.315,7.458,8.204,1.100
train,Aloha,-1.603,-1.392,0.2,3.145,-1.857,10.082,-0.315,11.477,12.183,1.062
train,Aloha,-3.709,3.409,0.2,4.149,-1.857,10.082,-0.315,6.926,6.926,1.000
train,Aloha,-2.88,1.056,0.2,3.159,-3.519,6.406,-0.334,5.388,5.388,1.000
train,Aloha,-2.932,2.623,0.2,1.555,-5.815,8.112,-0.32,6.2,6.2,1.000
train,Aloha,-2.88,1.056,0.2,3.159,-2.125,8.545,-0.323,7.527,7.941,1.055
train,Aloha,0.134,7.154,0.2,0.664,0.118,0.982,-0.314,6.173,14.004,2.269
train,Aloha,-1.248,6.31,0.2,0.212,-4.754,10.251,-0.113,5.278,6.317,1.197
train,Aloha,-5.062,3.283,0.2,5.099,-2.125,8.545,-0.323,6.026,6.026,1.000
train,Aloha,-2.932,2.623,0.2,1.555,-1.857,10.082,-0.315,7.536,7.862,1.043
train,Aloha,-6.44,4.799,0.2,5.604,-4.754,10.251,-0.113,5.711,7.12,1.247
train,Aloha,-3.709,3.409,0.2,4.149,-5.815,8.112,-0.32,5.153,5.153,1.000
train,Aloha,-0.035,-0.032,0.2,1.549,0.241,9.735,-0.315,9.771,14.288,1.462
train,Aloha,-1.902,3.747,0.2,3.842,-3.507,8.707,-0.32,5.213,7.635,1.465
train,Aloha,-2.796,0.126,0.2,4.341,-4.437,5.31,-0.332,5.438,5.581,1.026
train,Aloha,-5.815,8.112,0.2,4.489,0.118,0.982,-0.314,9.275,12.491,1.347
train,Aloha,-4.754,10.251,0.2,2.366,0.118,0.982,-0.314,10.474,14.137,1.350
train,Aloha,-1.902,3.747,0.2,3.842,0.241,9.735,-0.315,6.36,10.553,1.659
train,Aloha,-2.88,1.056,0.2,3.159,0.241,9.735,-0.315,9.223,10.589,1.148
train,Aloha,-0.035,-0.032,0.2,1.549,-3.709,3.409,-0.328,5.034,6.371,1.266
train,Aloha,-2.88,1.056,0.2,3.159,-3.507,8.707,-0.32,7.677,7.677,1.000
train,Aloha,-2.796,0.126,0.2,4.341,-6.44,4.799,-0.316,5.925,7.648,1.291
train,Aloha,-3.446,9.56,0.2,1.609,0.118,0.982,-0.314,9.289,13.246,1.426
train,Aloha,-1.603,-1.392,0.2,3.145,-6.44,4.799,-0.316,7.856,9.476,1.206
train,Aloha,-2.796,0.126,0.2,4.341,-3.507,8.707,-0.32,8.61,8.61,1.000
train,Aloha,-1.603,-1.392,0.2,3.145,-4.437,5.31,-0.332,7.277,7.409,1.018
train,Aloha,-2.932,2.623,0.2,1.555,-4.754,10.251,-0.113,7.846,7.846,1.000
train,Aloha,-2.932,2.623,0.2,1.555,-3.507,8.707,-0.32,6.111,6.111,1.000
train,Aloha,-3.519,6.406,0.2,3.083,0.118,0.982,-0.314,6.531,10.112,1.548
train,Aloha,-2.796,0.126,0.2,4.341,-1.857,10.082,-0.315,10,10.355,1.036
train,Aloha,-2.88,1.056,0.2,3.159,-6.44,4.799,-0.316,5.165,6.715,1.300
train,Aloha,-2.88,1.056,0.2,3.159,-3.446,9.56,-0.334,8.523,8.523,1.000
train,Aloha,-2.796,0.126,0.2,4.341,-1.248,6.31,-0.316,6.375,8.594,1.348
train,Aloha,-6.44,4.799,0.2,5.604,0.134,7.154,-0.312,6.983,7.227,1.035
train,Aloha,-1.248,6.31,0.2,0.212,0.118,0.982,-0.314,5.501,12.385,2.251
train,Aloha,-1.902,3.747,0.2,3.842,-5.815,8.112,-0.32,5.861,7.715,1.316
train,Aloha,-5.815,8.112,0.2,4.489,0.241,9.735,-0.315,6.269,6.269,1.000
train,Aloha,-0.035,-0.032,0.2,1.549,0.134,7.154,-0.312,7.188,12.979,1.806
train,Aloha,-1.603,-1.392,0.2,3.145,-2.125,8.545,-0.323,9.951,10.702,1.075
train,Aloha,-2.88,1.056,0.2,3.159,-1.248,6.31,-0.316,5.502,7.661,1.392
