split, sceneId, startX, startY, startZ, startAngle, goalX, goalY, goalZ, dist, pathDist,complexity
train,Euharlee,1.46,-0.353,0,1.332,0.453,-5.682,0,5.423,12.54,2.312
train,Euharlee,2.079,1.231,0,2.059,-2.483,-3.391,0,6.494,7.686,1.184
train,Euharlee,2.079,1.231,0,2.059,-2.57,-4.226,0,7.169,8.519,1.188
train,Euharlee,-0.052,3.565,0,2.496,-2.473,-5.562,0,9.443,9.809,1.039
train,Euharlee,-2.606,-0.822,0,6.053,0.453,-5.682,0,5.743,6.76,1.177
train,Euharlee,2.087,3.13,0,1.184,-2.573,-2.53,0,7.331,7.843,1.070
train,Euharlee,2.079,1.231,0,2.059,0.631,-4.378,0,5.793,11.724,2.024
train,Euharlee,-1.968,3.558,0,3.097,-2.573,-2.53,0,6.118,6.118,1.000
train,Euharlee,-1.968,3.558,0,3.097,-2.57,-4.226,0,7.808,7.808,1.000
train,Euharlee,-1.565,2.62,0,5.992,2.184,-1.754,0,5.76,6.886,1.195
train,Euharlee,-1.968,3.558,0,3.097,-2.473,-5.562,0,9.134,9.134,1.000
train,Euharlee,-0.052,3.565,0,2.496,-2.483,-3.391,0,7.368,7.638,1.037
train,Euharlee,-0.052,3.565,0,2.496,-0.77,-4.571,0,8.168,10.311,1.262
train,Euharlee,0.493,1.749,0,1.19,-2.483,-3.391,0,5.939,6.598,1.111
train,Euharlee,2.079,1.231,0,2.059,0.453,-5.682,0,7.102,11.875,1.672
train,Euharlee,2.079,1.231,0,2.059,-0.77,-4.571,0,6.465,10.352,1.601
train,Euharlee,-1.565,2.62,0,5.992,0.631,-4.378,0,7.334,10.133,1.382
train,Euharlee,0.493,1.749,0,1.19,-0.77,-4.571,0,6.446,9.264,1.437
train,Euharlee,2.087,3.13,0,1.184,-2.606,-0.822,0,6.135,6.135,1.000
train,Euharlee,2.087,3.13,0,1.184,0.631,-4.378,0,7.647,12.744,1.667
train,Euharlee,-1.968,3.558,0,3.097,2.184,-1.754,0,6.742,7.655,1.135
train,Euharlee,-0.052,3.565,0,2.496,-2.606,-0.822,0,5.076,5.076,1.000
train,Euharlee,1.46,-0.353,0,1.332,-2.483,-3.391,0,4.977,8.344,1.677
train,Euharlee,-2.483,-3.391,0,5.293,2.184,-1.754,0,4.945,10.673,2.158
train,Euharlee,2.087,3.13,0,1.184,2.184,-1.754,0,4.885,4.885,1.000
train,Euharlee,-2.606,-0.822,0,6.053,2.184,-1.754,0,4.879,8.102,1.661
train,Euharlee,-2.573,-2.53,0,6.055,2.184,-1.754,0,4.819,9.81,2.036
train,Euharlee,-2.606,-0.822,0,6.053,0.631,-4.378,0,4.808,6.61,1.375
train,Euharlee,1.46,-0.353,0,1.332,-0.77,-4.571,0,4.772,11.017,2.309
train,Euharlee,-2.606,-0.822,0,6.053,-2.473,-5.562,0,4.742,4.742,1.000
train,Euharlee,2.079,1.231,0,2.059,-1.968,3.558,0,4.668,4.668,1.000
train,Euharlee,-1.918,1.2,0,5.229,-2.483,-3.391,0,4.625,4.625,1.000
train,Euharlee,-0.134,-0.305,0,1.091,-2.57,-4.226,0,4.616,7.799,1.690
train,Euharlee,1.46,-0.353,0,1.332,-2.573,-2.53,0,4.583,7.505,1.638
train,Euharlee,2.087,3.13,0,1.184,-1.918,1.2,0,4.445,4.445,1.000
train,Euharlee,-1.968,3.558,0,3.097,-2.606,-0.822,0,4.426,4.426,1.000
train,Euharlee,-2.573,-2.53,0,6.055,0.453,-5.682,0,4.37,5.052,1.156
train,Euharlee,-0.134,-0.305,0,1.091,-0.77,-4.571,0,4.313,9.632,2.233
train,Euharlee,2.184,-1.754,0,1.893,0.453,-5.682,0,4.293,14.862,3.462
train,Euharlee,-0.134,-0.305,0,1.091,-1.968,3.558,0,4.277,4.277,1.000
train,Euharlee,1.46,-0.353,0,1.332,-1.565,2.62,0,4.242,4.242,1.000
train,Euharlee,1.46,-0.353,0,1.332,-0.052,3.565,0,4.2,4.2,1.000
train,Euharlee,-2.606,-0.822,0,6.053,-0.77,-4.571,0,4.175,5.237,1.254
train,Euharlee,-0.134,-0.305,0,1.091,0.631,-4.378,0,4.144,11.005,2.656
train,Euharlee,1.46,-0.353,0,1.332,0.631,-4.378,0,4.109,12.389,3.015
train,Euharlee,1.46,-0.353,0,1.332,-2.606,-0.822,0,4.093,5.854,1.430
train,Euharlee,-0.134,-0.305,0,1.091,2.087,3.13,0,4.091,4.091,1.000
train,Euharlee,2.184,-1.754,0,1.893,-0.77,-4.571,0,4.082,13.339,3.268
train,Euharlee,2.087,3.13,0,1.184,-1.968,3.558,0,4.077,4.077,1.000
train,Euharlee,0.493,1.749,0,1.19,-2.606,-0.822,0,4.027,4.027,1.000
train,Euharlee,2.079,1.231,0,2.059,-1.918,1.2,0,3.997,3.997,1.000
train,Euharlee,2.079,1.231,0,2.059,-1.565,2.62,0,3.899,3.899,1.000
train,Euharlee,0.493,1.749,0,1.19,2.184,-1.754,0,3.89,4.655,1.197
train,Euharlee,-0.134,-0.305,0,1.091,-2.483,-3.391,0,3.877,6.959,1.795
train,Euharlee,-0.134,-0.305,0,1.091,-0.052,3.565,0,3.871,3.871,1.000
train,Euharlee,-1.918,1.2,0,5.229,-2.573,-2.53,0,3.787,3.787,1.000
train,Euharlee,-2.483,-3.391,0,5.293,0.453,-5.682,0,3.725,4.196,1.126
train,Euharlee,1.46,-0.353,0,1.332,-1.918,1.2,0,3.718,3.718,1.000
train,Euharlee,-2.573,-2.53,0,6.055,0.631,-4.378,0,3.699,4.902,1.325
