split, sceneId, level, roomId, roomType, startX, startY, startZ, startAngle, goalObjectId, goalX, goalY, goalZ, dist, pathDist, pathNumDoors, pathDoorIds, pathNumRooms, pathRoomIndices
,Aloha,1,,,-5.062,3.283,-0.319,5.099,,0.134,7.154,-0.312,6.48,7.376,,,,
,Aloha,1,,,-5.062,3.283,-0.319,5.099,,-3.446,9.56,-0.334,6.481,6.485,,,,
,Aloha,1,,,-5.062,3.283,-0.319,5.099,,0.241,9.735,-0.315,8.352,8.674,,,,
,Aloha,1,,,-5.062,3.283,-0.319,5.099,,-2.125,8.545,-0.323,6.026,6.026,,,,
,Aloha,1,,,-5.815,8.112,-0.32,4.489,,0.134,7.154,-0.312,6.026,6.529,,,,
,Aloha,1,,,-5.815,8.112,-0.32,4.489,,0.118,0.982,-0.314,9.275,12.491,,,,
,Aloha,1,,,-5.815,8.112,-0.32,4.489,,0.241,9.735,-0.315,6.269,6.269,,,,
,Aloha,1,,,-6.44,4.799,-0.316,5.604,,0.118,0.982,-0.314,7.587,11.438,,,,
,Aloha,1,,,-6.44,4.799,-0.316,5.604,,-1.248,6.31,-0.316,5.407,5.607,,,,
,Aloha,1,,,-6.44,4.799,-0.316,5.604,,-1.857,10.082,-0.315,6.994,7.275,,,,
,Aloha,1,,,-6.44,4.799,-0.316,5.604,,-3.446,9.56,-0.334,5.624,5.624,,,,
,Aloha,1,,,-6.44,4.799,-0.316,5.604,,-2.125,8.545,-0.323,5.715,5.715,,,,
,Aloha,1,,,-6.44,4.799,-0.316,5.604,,-4.754,10.251,-0.113,5.711,7.12,,,,
,Aloha,1,,,-6.44,4.799,-0.316,5.604,,0.134,7.154,-0.312,6.983,7.227,,,,
