 startX, startY, startZ, goalX, goalY, goalZ
3.113,-2.889,-0.396,-7.561,7.44,-0.405
1.945,1.53,-0.403,-3.086,4.325,-0.421
1.945,1.53,-0.403,-6.848,9.883,-0.411
-3.507,-0.557,-0.44,-0.349,5.555,-0.414
-3.355,-1.772,-0.427,-1.809,4.294,-0.418
-0.369,2.003,-0.412,-4.889,5.395,-0.413
-0.194,9.333,-0.258,-3.038,2.709,-0.278
0.081,-0.021,2.717,-1.858,9.521,2.735
-1.977,0.559,2.705,-2.083,6.764,2.73
-1.205,-2.66,2.707,-2.922,2.045,2.724
-3.038,2.709,-0.278,0.473,-1.782,-0.26
-1.681,9.333,-0.266,-2.915,-1.548,-0.269
-3.957,8.205,-0.273,-3.038,2.709,-0.278
-0.194,9.333,-0.258,-2.921,-3.295,-0.255
-3.957,8.205,-0.273,-1.243,2.046,-0.275
-3.035,5.756,-0.28,-4.22,-3.308,-0.249
-4.22,-3.308,-0.249,-0.022,2.623,-0.278
-1.409,-4.723,2.713,-2.922,2.045,2.724
0.118,4.08,-0.277,0.473,-1.782,-0.26
-1.092,-0.306,2.707,-1.858,9.521,2.735
-0.289,7.187,-0.271,-2.861,1.335,-0.276
-3.086,7.229,-0.276,-3.177,-0.096,-0.277
-1.589,6.111,-0.282,-0.135,-0.586,-0.272
-1.589,6.111,-0.282,-4.22,-3.308,-0.249
-1.681,9.333,-0.266,-0.135,-0.586,-0.272
-3.086,7.229,-0.276,-4.22,-3.308,-0.249
-1.205,-2.66,2.707,-2.083,6.764,2.73
-2.347,8.212,-0.278,-2.921,-3.295,-0.255
-2.347,8.212,-0.278,-2.915,-1.548,-0.269
-1.409,-4.723,2.713,-1.858,9.521,2.735
-1.289,-1.394,2.704,-1.858,9.521,2.735
0.595,5.915,-0.276,-2.921,-3.295,-0.255
-4.196,-1.444,-0.256,-0.022,2.623,-0.278
-3.086,7.229,-0.276,-0.022,0.884,-0.269
-1.409,-4.723,2.713,-2.083,6.764,2.73
-1.977,0.559,2.705,-1.858,9.521,2.735
-1.589,6.111,-0.282,-4.196,-1.444,-0.256
-3.957,8.205,-0.273,0.473,-1.782,-0.26
-2.922,2.045,2.724,-1.858,9.521,2.735
-0.289,7.187,-0.271,-1.243,2.046,-0.275
0.595,5.915,-0.276,-2.915,-1.548,-0.269
-1.205,-2.66,2.707,-2.932,3.797,2.733
-3.035,5.756,-0.28,-2.921,-3.295,-0.255
-3.082,3.782,-0.282,-4.196,-1.444,-0.256
-0.289,7.187,-0.271,-3.038,2.709,-0.278
-1.791,-3.496,2.726,-2.922,2.045,2.724
-2.196,4.453,-0.282,-2.921,-3.295,-0.255
-2.921,-3.295,-0.255,0.118,4.08,-0.277
-3.957,8.205,-0.273,-0.022,0.884,-0.269
-1.205,-2.66,2.707,-1.499,4.157,2.728
-1.681,9.333,-0.266,-2.861,1.335,-0.276
-0.194,9.333,-0.258,-2.861,1.335,-0.276
0.595,5.915,-0.276,-0.135,-0.586,-0.272
-3.082,3.782,-0.282,-2.921,-3.295,-0.255
-0.194,9.333,-0.258,-0.135,-0.586,-0.272
0.175,-3.913,2.723,-2.932,3.797,2.733
-3.082,3.782,-0.282,0.473,-1.782,-0.26
-1.205,-2.66,2.707,-1.858,9.521,2.735
-3.957,8.205,-0.273,-4.196,-1.444,-0.256
0.175,-3.913,2.723,-2.334,5.037,2.726
-3.957,8.205,-0.273,-4.22,-3.308,-0.249
-0.194,9.333,-0.258,-2.915,-1.548,-0.269
-3.035,5.756,-0.28,-4.196,-1.444,-0.256
-1.409,-4.723,2.713,-1.909,8.067,2.723
-3.035,5.756,-0.28,-3.177,-0.096,-0.277
-3.082,3.782,-0.282,-0.135,-0.586,-0.272
0.595,5.915,-0.276,-0.022,0.884,-0.269
-2.347,8.212,-0.278,-4.22,-3.308,-0.249
-1.289,-1.394,2.704,-2.932,3.797,2.733
0.175,-3.913,2.723,-2.083,6.764,2.73
-1.681,9.333,-0.266,-3.038,2.709,-0.278
0.595,5.915,-0.276,-3.177,-0.096,-0.277
-2.196,4.453,-0.282,0.473,-1.782,-0.26
-0.194,9.333,-0.258,-3.082,3.782,-0.282
-3.038,2.709,-0.278,-2.921,-3.295,-0.255
-0.289,7.187,-0.271,-3.177,-0.096,-0.277
-4.22,-3.308,-0.249,-1.243,2.046,-0.275
-2.921,-3.295,-0.255,-0.022,2.623,-0.278
-0.194,9.333,-0.258,-4.196,-1.444,-0.256
-3.177,-0.096,-0.277,0.118,4.08,-0.277
-0.194,9.333,-0.258,-0.022,2.623,-0.278
-2.915,-1.548,-0.269,-0.022,2.623,-0.278
-1.289,-1.394,2.704,-1.499,4.157,2.728
-1.681,9.333,-0.266,-0.022,0.884,-0.269
-1.589,6.111,-0.282,-2.921,-3.295,-0.255
-1.977,0.559,2.705,-1.909,8.067,2.723
-3.086,7.229,-0.276,0.473,-1.782,-0.26
-1.791,-3.496,2.726,-2.083,6.764,2.73
-1.205,-2.66,2.707,-2.334,5.037,2.726
-1.289,-1.394,2.704,-2.334,5.037,2.726
-1.409,-4.723,2.713,-1.499,4.157,2.728
0.595,5.915,-0.276,0.473,-1.782,-0.26
-3.957,8.205,-0.273,-2.861,1.335,-0.276
-2.196,4.453,-0.282,-2.915,-1.548,-0.269
-0.289,7.187,-0.271,-2.921,-3.295,-0.255
-1.092,-0.306,2.707,-2.334,5.037,2.726
-2.347,8.212,-0.278,-4.196,-1.444,-0.256
-3.035,5.756,-0.28,0.473,-1.782,-0.26
-2.347,8.212,-0.278,-0.022,2.623,-0.278
-1.791,-3.496,2.726,-2.902,2.952,2.725
-3.957,8.205,-0.273,0.595,5.915,-0.276
-1.791,-3.496,2.726,-2.932,3.797,2.733
-2.347,8.212,-0.278,-1.243,2.046,-0.275
-1.791,-3.496,2.726,-1.909,8.067,2.723
-1.092,-0.306,2.707,-2.083,6.764,2.73
-1.681,9.333,-0.266,-0.022,2.623,-0.278
2.446,1.162,-0.258,1.054,9.383,-0.221
2.276,5.733,-2.759,2.399,0.555,-2.721
2.527,-1.225,-0.252,4.173,7.144,-0.235
2.527,-1.225,-0.252,4.205,8.458,-0.245
1.792,2.047,-0.259,0.807,8.388,-0.219
4.057,1.392,-0.264,-1.985,7.147,-0.202
2.476,0.001,-0.252,1.793,7.136,-0.228
2.476,0.001,-0.252,0.68,7.23,-0.224
2.446,1.162,-0.258,3.048,8.563,-0.479
1.792,2.047,-0.259,1.793,7.136,-0.228
1.859,2.691,-0.263,3.048,8.563,-0.479
2.476,0.001,-0.252,0.807,8.388,-0.219
2.476,0.001,-0.252,3.048,8.563,-0.479
1.792,2.047,-0.259,4.173,7.144,-0.235
3.82,9.25,-2.768,2.753,2.315,-2.736
-0.629,-0.747,-0.234,-1.339,6.742,-0.205
2.527,-1.225,-0.252,-1.985,7.147,-0.202
-1.985,7.147,-0.202,1.949,3.639,-0.493
1.792,2.047,-0.259,0.68,7.23,-0.224
2.476,0.001,-0.252,1.821,5.964,-0.239
2.476,0.001,-0.252,4.173,7.144,-0.235
1.578,7.751,-2.749,2.753,2.315,-2.736
2.276,5.733,-2.759,3.546,0.108,-2.726
4.057,1.392,-0.264,0.807,8.388,-0.219
-1.107,0.667,-2.761,-0.34,6.936,-2.74
3.048,8.563,-0.479,1.949,3.639,-0.493
2.638,9.128,-2.767,2.753,2.315,-2.736
0.043,0.115,-2.762,0.662,6.784,-2.735
-1.985,7.147,-0.202,4.173,7.144,-0.235
4.057,1.392,-0.264,1.793,7.136,-0.228
1.859,2.691,-0.263,4.173,7.144,-0.235
4.057,1.392,-0.264,3.048,8.563,-0.479
1.792,2.047,-0.259,4.205,8.458,-0.245
2.527,-1.225,-0.252,2.82,6.839,-0.231
-0.629,-0.747,-0.234,-1.346,5.97,-0.199
3.82,9.25,-2.768,2.399,0.555,-2.721
2.776,7.755,-2.763,2.753,2.315,-2.736
1.578,7.751,-2.749,2.399,0.555,-2.721
-0.736,0.332,-0.239,-1.346,5.97,-0.199
2.446,1.162,-0.258,1.793,7.136,-0.228
1.054,9.383,-0.221,1.949,3.639,-0.493
2.527,-1.225,-0.252,1.821,5.964,-0.239
0.043,0.115,-2.762,-0.34,6.936,-2.74
2.476,0.001,-0.252,1.054,9.383,-0.221
2.527,-1.225,-0.252,3.048,8.563,-0.479
2.446,1.162,-0.258,4.205,8.458,-0.245
2.476,0.001,-0.252,4.205,8.458,-0.245
2.446,1.162,-0.258,2.82,6.839,-0.231
1.859,2.691,-0.263,1.054,9.383,-0.221
2.476,0.001,-0.252,2.82,6.839,-0.231
1.578,7.751,-2.749,3.546,0.108,-2.726
2.776,7.755,-2.763,3.546,0.108,-2.726
-0.736,0.332,-0.239,-1.339,6.742,-0.205
1.859,2.691,-0.263,0.807,8.388,-0.219
2.527,-1.225,-0.252,1.793,7.136,-0.228
4.057,1.392,-0.264,1.054,9.383,-0.221
2.638,9.128,-2.767,2.207,3.684,-2.745
2.527,-1.225,-0.252,0.807,8.388,-0.219
0.565,0.919,-0.253,-1.339,6.742,-0.205
0.043,0.115,-2.762,-1.048,5.747,-2.747
3.82,9.25,-2.768,2.207,3.684,-2.745
4.057,1.392,-0.264,4.205,8.458,-0.245
0.565,0.919,-0.253,-1.346,5.97,-0.199
2.638,9.128,-2.767,2.399,0.555,-2.721
2.446,1.162,-0.258,-1.985,7.147,-0.202
2.446,1.162,-0.258,0.807,8.388,-0.219
2.527,-1.225,-0.252,0.68,7.23,-0.224
-1.107,0.667,-2.761,0.871,7.74,-2.738
-1.985,7.147,-0.202,3.048,8.563,-0.479
-1.107,0.667,-2.761,0.662,6.784,-2.735
2.476,0.001,-0.252,-1.985,7.147,-0.202
0.043,0.115,-2.762,0.871,7.74,-2.738
2.446,1.162,-0.258,0.68,7.23,-0.224
4.057,1.392,-0.264,1.821,5.964,-0.239
-1.796,0.856,-0.242,-1.346,5.97,-0.199
0.684,1.945,-0.257,-1.339,6.742,-0.205
-0.629,-0.747,-0.234,-1.194,4.453,-0.203
2.527,-1.225,-0.252,1.054,9.383,-0.221
4.057,1.392,-0.264,2.82,6.839,-0.231
-1.426,2.306,-2.751,0.871,7.74,-2.738
1.792,2.047,-0.259,-1.985,7.147,-0.202
4.057,1.392,-0.264,0.68,7.23,-0.224
2.446,1.162,-0.258,4.173,7.144,-0.235
2.776,7.755,-2.763,2.399,0.555,-2.721
1.792,2.047,-0.259,3.048,8.563,-0.479
3.82,9.25,-2.768,3.546,0.108,-2.726
1.792,2.047,-0.259,1.054,9.383,-0.221
4.205,8.458,-0.245,1.949,3.639,-0.493
-1.796,0.856,-0.242,-1.339,6.742,-0.205
-1.985,7.147,-0.202,4.205,8.458,-0.245
-1.107,0.667,-2.761,-1.048,5.747,-2.747
1.859,2.691,-0.263,-1.985,7.147,-0.202
1.859,2.691,-0.263,4.205,8.458,-0.245
2.638,9.128,-2.767,3.546,0.108,-2.726
4.057,1.392,-0.264,4.173,7.144,-0.235
-1.426,2.306,-2.751,0.662,6.784,-2.735
3.82,9.25,-2.768,2.203,4.603,-2.754
2.527,-1.225,-0.252,1.949,3.639,-0.493
1.792,2.047,-0.259,2.82,6.839,-0.231
0.807,8.388,-0.219,1.949,3.639,-0.493
0.074,-0.022,-0.409,-5.016,2.514,-0.417
-1.398,0.128,-0.413,-4.663,4.111,-0.406
-0.814,2.092,-0.426,-6.166,2.314,-0.415
-3.868,0.568,-0.406,-1.867,5.698,-0.517
-1.398,0.128,-0.413,-6.166,2.314,-0.415
0.074,-0.022,-0.409,-6.214,1.19,-0.675
0.074,-0.022,-0.409,-4.663,4.111,-0.406
0.074,-0.022,-0.409,-1.867,5.698,-0.517
-6.214,1.19,-0.675,-1.867,5.698,-0.517
-1.789,3.6,-0.425,-6.214,1.19,-0.675
-0.814,2.092,-0.426,-6.214,1.19,-0.675
-6.166,2.314,-0.415,-1.867,5.698,-0.517
-2.833,0.004,-0.41,-1.867,5.698,-0.517
0.074,-0.022,-0.409,-6.166,2.314,-0.415
-6.214,1.19,-0.675,-1.768,4.548,-0.489
-1.398,0.128,-0.413,-1.867,5.698,-0.517
-1.398,0.128,-0.413,-6.214,1.19,-0.675
-6.166,2.314,-0.415,-1.768,4.548,-0.489
0.074,-0.022,-0.409,-1.768,4.548,-0.489
-2.833,0.004,-0.41,-1.768,4.548,-0.489
0.074,-0.022,-0.409,-3.911,2.361,-0.417
-1.789,3.6,-0.425,-6.166,2.314,-0.415
-3.868,0.568,-0.406,-1.768,4.548,-0.489
-2.833,0.004,-0.41,-4.663,4.111,-0.406
-5.016,2.514,-0.417,-1.867,5.698,-0.517
-1.398,0.128,-0.413,-1.768,4.548,-0.489
-0.814,2.092,-0.426,-4.663,4.111,-0.406
-1.398,0.128,-0.413,-5.016,2.514,-0.417
-2.241,2.651,-0.424,-6.214,1.19,-0.675
-0.814,2.092,-0.426,-5.016,2.514,-0.417
0.074,-0.022,-0.409,-1.789,3.6,-0.425
-2.833,0.004,-0.41,-6.166,2.314,-0.415
0.074,-0.022,-0.409,-3.868,0.568,-0.406
-2.241,2.651,-0.424,-6.166,2.314,-0.415
-3.911,2.361,-0.417,-1.867,5.698,-0.517
-5.016,2.514,-0.417,-1.768,4.548,-0.489
-0.814,2.092,-0.426,-1.867,5.698,-0.517
-2.833,0.004,-0.41,-1.789,3.6,-0.425
-3.868,0.568,-0.406,-1.789,3.6,-0.425
-3.868,0.568,-0.406,-4.663,4.111,-0.406
-2.833,0.004,-0.41,-6.214,1.19,-0.675
0.074,-0.022,-0.409,-2.241,2.651,-0.424
-1.398,0.128,-0.413,-1.789,3.6,-0.425
-3.868,0.568,-0.406,-0.814,2.092,-0.426
-1.789,3.6,-0.425,-5.016,2.514,-0.417
-1.398,0.128,-0.413,-3.911,2.361,-0.417
-2.833,0.004,-0.41,-5.016,2.514,-0.417
-6.214,1.19,-0.675,-4.663,4.111,-0.406
-4.663,4.111,-0.406,-1.867,5.698,-0.517
-3.911,2.361,-0.417,-0.814,2.092,-0.426
-2.241,2.651,-0.424,-1.867,5.698,-0.517
-3.911,2.361,-0.417,-1.768,4.548,-0.489
-4.663,4.111,-0.406,-1.768,4.548,-0.489
-1.789,3.6,-0.425,-4.663,4.111,-0.406
0.074,-0.022,-0.409,-2.833,0.004,-0.41
-2.833,0.004,-0.41,-0.814,2.092,-0.426
-3.868,0.568,-0.406,-6.166,2.314,-0.415
-2.241,2.651,-0.424,-4.663,4.111,-0.406
-2.241,2.651,-0.424,-5.016,2.514,-0.417
-2.833,0.004,-0.41,-2.241,2.651,-0.424
-1.398,0.128,-0.413,-2.241,2.651,-0.424
-3.868,0.568,-0.406,-2.241,2.651,-0.424
-0.814,2.092,-0.426,-1.768,4.548,-0.489
-3.911,2.361,-0.417,-6.214,1.19,-0.675
-2.833,0.004,-0.41,-3.911,2.361,-0.417
-1.398,0.128,-0.413,-3.868,0.568,-0.406
-3.911,2.361,-0.417,-1.789,3.6,-0.425
-3.868,0.568,-0.406,-6.214,1.19,-0.675
-6.166,2.314,-0.415,-4.663,4.111,-0.406
0.074,-0.022,-0.409,-0.814,2.092,-0.426
-3.868,0.568,-0.406,-5.016,2.514,-0.417
-3.911,2.361,-0.417,-6.166,2.314,-0.415
-1.789,3.6,-0.425,-1.867,5.698,-0.517
-1.398,0.128,-0.413,-0.814,2.092,-0.426
-2.241,2.651,-0.424,-1.768,4.548,-0.489
-3.911,2.361,-0.417,-4.663,4.111,-0.406
-5.016,2.514,-0.417,-6.214,1.19,-0.675
-0.814,2.092,-0.426,-1.789,3.6,-0.425
-3.868,0.568,-0.406,-3.911,2.361,-0.417
-3.911,2.361,-0.417,-2.241,2.651,-0.424
-5.016,2.514,-0.417,-4.663,4.111,-0.406
-2.241,2.651,-0.424,-0.814,2.092,-0.426
0.074,-0.022,-0.409,-1.398,0.128,-0.413
-1.398,0.128,-0.413,-2.833,0.004,-0.41
-2.833,0.004,-0.41,-3.868,0.568,-0.406
-5.016,2.514,-0.417,-6.166,2.314,-0.415
-6.166,2.314,-0.415,-6.214,1.19,-0.675
-1.768,4.548,-0.489,-1.867,5.698,-0.517
-3.911,2.361,-0.417,-5.016,2.514,-0.417
-2.241,2.651,-0.424,-1.789,3.6,-0.425
-3.855,0.843,-0.406,-4.445,4.321,-0.406
-2.731,0.314,-0.41,-1.717,5.831,-0.517
-1.525,3.667,-0.425,-5.957,1.282,-0.675
-1.341,4.795,-0.489,-1.444,5.738,-0.517
-1.366,0.342,-0.413,-1.741,3.663,-0.425
-1.285,0.181,-0.413,-2.131,2.826,-0.424
-3.81,2.681,-0.417,-5.925,2.566,-0.415
-2.436,0.294,-0.41,-1.786,6.048,-0.517
-1.148,0.572,-0.413,-3.74,2.644,-0.417
-2.615,0.392,-0.41,-0.546,2.569,-0.426
-3.158,-3.041,-0.411,-4.22,5.544,-0.413
-2.311,10.52,-0.418,-4.889,5.395,-0.413
-1.89,-0.389,-0.436,-2.201,9.371,-0.421
3.535,9.299,-0.388,-2.201,9.371,-0.421
3.517,3.06,-0.396,-7.372,12.311,-0.395
-3.507,-0.557,-0.44,3.441,11.545,-0.376
0.425,-2.823,-0.415,3.441,11.545,-0.376
3.197,-0.617,-0.406,0.275,11.572,-0.393
1.993,-0.033,-0.413,0.307,9.131,-0.407
3.441,11.545,-0.376,-7.618,4.223,-0.399
-6.279,4.264,-0.416,-3.298,10.537,-0.418
-5.24,-0.51,-0.429,-0.078,-0.401,-0.425
3.454,4.234,-0.4,-6.506,5.31,-0.41
-5.308,1.163,-0.441,-2.311,10.52,-0.418
1.945,1.53,-0.403,-4.889,5.395,-0.413
-3.355,-1.772,-0.427,-2.608,11.713,-0.409
-3.158,-3.041,-0.411,-2.201,9.371,-0.421
-5.308,1.163,-0.441,-6.099,10.932,-0.411
-0.362,4.173,-0.412,-7.561,7.44,-0.405
1.945,1.53,-0.403,-7.099,9.067,-0.409
-1.809,4.294,-0.418,-4.631,10.117,-0.417
-0.349,5.555,-0.414,-6.352,6.169,-0.235
-5.24,-0.51,-0.429,-0.349,5.555,-0.414
0.425,-2.823,-0.415,-5.312,2.797,-0.423
-5.24,-0.51,-0.429,-1.783,6.654,-0.407
-6.327,-0.677,-0.423,2,6.949,-0.399
-3.507,-0.557,-0.44,-7.561,7.44,-0.405
-3.158,-3.041,-0.411,-6.352,6.169,-0.235
3.692,5.649,-0.401,-6.279,4.264,-0.416
0.275,11.572,-0.393,-0.349,5.555,-0.414
0.275,11.572,-0.393,-0.362,4.173,-0.412
-3.355,-1.772,-0.427,-0.362,4.173,-0.412
3.113,-2.889,-0.396,-6.099,10.932,-0.411
2,6.949,-0.399,-0.369,2.003,-0.412
3.722,1.918,-0.388,-6.099,10.932,-0.411
-6.327,-0.677,-0.423,-0.349,5.555,-0.414
-6.327,-0.677,-0.423,3.441,11.545,-0.376
3.113,-2.889,-0.396,-6.589,3.768,-0.418
-0.362,4.173,-0.412,-6.848,9.883,-0.411
3.535,9.299,-0.388,-7.561,7.44,-0.405
-3.355,-1.772,-0.427,1.863,11.703,-0.389
3.197,-0.617,-0.406,-7.561,7.44,-0.405
3.454,4.234,-0.4,-1.783,6.654,-0.407
-3.086,4.325,-0.421,-3.298,10.537,-0.418
0.275,11.572,-0.393,-6.279,4.264,-0.416
-3.507,-0.557,-0.44,-7.099,9.067,-0.409
-0.078,-0.401,-0.425,3.65,6.904,-0.396
3.454,4.234,-0.4,3.441,11.545,-0.376
1.807,-1.575,-3.128,-5.18,-0.169,-3.15
-1.89,-0.389,-0.436,3.454,4.234,-0.4
1.863,11.703,-0.389,-6.279,4.264,-0.416
-5.24,-0.51,-0.429,3.113,-2.889,-0.396
-5.24,-0.51,-0.429,-0.369,2.003,-0.412
1.945,1.53,-0.403,3.535,9.299,-0.388
0.275,11.572,-0.393,-7.894,6.029,-0.402
3.441,11.545,-0.376,-6.352,6.169,-0.235
3.113,-2.889,-0.396,3.65,6.904,-0.396
1.924,0.616,-0.412,-2.311,10.52,-0.418
1.993,-0.033,-0.413,-6.352,6.169,-0.235
3.517,3.06,-0.396,-6.848,9.883,-0.411
0.425,-2.823,-0.415,-3.298,10.537,-0.418
1.993,-0.033,-0.413,-4.631,10.117,-0.417
-1.89,-0.389,-0.436,-7.099,9.067,-0.409
-1.89,-0.389,-0.436,1.863,11.703,-0.389
3.441,11.545,-0.376,-2.311,10.52,-0.418
3.517,3.06,-0.396,-3.298,10.537,-0.418
3.692,5.649,-0.401,-7.099,9.067,-0.409
-1.783,6.654,-0.407,-6.099,10.932,-0.411
1.924,0.616,-0.412,0.307,9.131,-0.407
1.956,8.342,-0.395,-6.352,6.169,-0.235
3.197,-0.617,-0.406,3.441,11.545,-0.376
-2.608,11.713,-0.409,-4.889,5.395,-0.413
-3.507,-0.557,-0.44,-2.201,9.371,-0.421
-3.355,-1.772,-0.427,3.113,-2.889,-0.396
-7.618,4.223,-0.399,-2.608,11.713,-0.409
0.425,-2.823,-0.415,-4.22,5.544,-0.413
-7.618,4.223,-0.399,-4.631,10.117,-0.417
-6.327,-0.677,-0.423,-4.22,5.544,-0.413
-6.327,-0.677,-0.423,-3.298,10.537,-0.418
-7.618,4.223,-0.399,-3.298,10.537,-0.418
-7.618,4.223,-0.399,-2.201,9.371,-0.421
-7.099,9.067,-0.409,-2.608,11.713,-0.409
-5.24,-0.51,-0.429,-2.608,11.713,-0.409
-1.784,8.351,2.903,3.787,10.411,2.929
-5.24,-0.51,-0.429,-6.848,9.883,-0.411
-5.308,1.163,-0.441,1.956,8.342,-0.395
-0.369,2.003,-0.412,-7.561,7.44,-0.405
3.441,11.545,-0.376,-3.086,4.325,-0.421
0.157,6.768,-0.408,-2.608,11.713,-0.409
-3.507,-0.557,-0.44,1.924,0.616,-0.412
-3.355,-1.772,-0.427,-6.099,10.932,-0.411
-3.355,-1.772,-0.427,-6.848,9.883,-0.411
-1.809,4.294,-0.418,-2.608,11.713,-0.409
-1.809,4.294,-0.418,-6.848,9.883,-0.411
3.113,-2.889,-0.396,-7.561,7.44,-0.405
1.945,1.53,-0.403,-3.086,4.325,-0.421
1.945,1.53,-0.403,-6.848,9.883,-0.411
-3.507,-0.557,-0.44,-0.349,5.555,-0.414
-3.355,-1.772,-0.427,-1.809,4.294,-0.418
-0.369,2.003,-0.412,-4.889,5.395,-0.413
-2.772,0.257,-2.646,-5.417,-7.2,-2.657
-3.246,-0.493,-0.34,-1.43,-5.373,-0.344
-5.996,-8.382,-0.307,-1.819,-3.739,-0.35
-5.996,-8.382,-0.307,-3.756,-3.64,-0.376
